Name,Target Geography,Logo,Official Website,Framework/API/Approach,Proximity detection,Exposure calculation,Personal information collected (on signup),Souce code?,Source code link,Developed by,Current Status
Immuni,Italy,QSb7_bHeT5dQZReUWLirWVSQygmr4CzBioyfxutL84IB-CFY6BuKPdDyKVSWuvIVbtk=s180-rw (https://dl.airtable.com/.attachments/6d439bc9a5f1c2a6cc2ccb51348bd8a5/bb54311c/QSb7_bHeT5dQZReUWLirWVSQygmr4CzBioyfxutL84IB-CFY6BuKPdDyKVSWuvIVbtks180-rw),,Apple-Google Privacy-Preserving Contact Tracing Specification,Bluetooth - Google/Apple APIs?,On device (Google/Apple API),,,,Bending Spoons,
Apturi Covid,Latvia,Ujk59m6SFhlsReiGlGGpsACrmY8pR858wlZuM0j84gPnAWFSK4E_bOf_ldfNKmojy7NR=s180-rw (https://dl.airtable.com/.attachments/4bd93f5cf03291dd98aa5181a078832f/b8d84d43/Ujk59m6SFhlsReiGlGGpsACrmY8pR858wlZuM0j84gPnAWFSK4E_bOf_ldfNKmojy7NRs180-rw),https://www.apturicovid.lv/#en,Apple-Google Privacy-Preserving Contact Tracing Specification,,,,,,,
,Luxembourg,,,,,,,,,,
MyTrace,Malaysia,dn47DSUpo5PvxRWmgsIRiPQgYLkktBZmC4sHew2gbkvoTuKP6LSH0lwvfgb4hVE6WA=s180-rw (https://dl.airtable.com/.attachments/2d6f06602953fd5937aee063b2a94ff4/b087db1c/dn47DSUpo5PvxRWmgsIRiPQgYLkktBZmC4sHew2gbkvoTuKP6LSH0lwvfgb4hVE6WAs180-rw),https://www.mosti.gov.my/web/en/mytrace/,,Bluetooth,Centralized,,Closed source,,,
CovidRadar,Mexico,f_Gd1LSXlOna63bc4_96mZLeYr6mrrRlMSpoLnCFwrwqpLeZGQ4JZG_pzbN46A1b3Ew=s180-rw (https://dl.airtable.com/.attachments/3802b851d3d4695118b6b228dd9b532e/28c19f45/f_Gd1LSXlOna63bc4_96mZLeYr6mrrRlMSpoLnCFwrwqpLeZGQ4JZG_pzbN46A1b3Ews180-rw),http://covidradar.mx,,Bluetooth,,,,,,
NZ COVID Tracer,New Zealand,ZMA1dWRZWVPtipUtSx37rzC7jwY3AFwQwGhg5QiofY5CHDId19OZeYxAcVwj6odi1Q=s180-rw (https://dl.airtable.com/.attachments/a34653dc4d778fc0d362385a465a2272/98dc2421/ZMA1dWRZWVPtipUtSx37rzC7jwY3AFwQwGhg5QiofY5CHDId19OZeYxAcVwj6odi1Qs180-rw),https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-health-advice-general-public/contact-tracing-covid-19/nz-covid-tracer-app,,Manual checkin (QR code),,,,,,
Smittestopp,Norway,PCgkwVsRAIFTuvuDxGp7d6CHn_cgkRaL-utspBqHov8JP_pQ6s60ONLcHIE7wZjeO4Q=s180-rw (https://dl.airtable.com/.attachments/0c4279317e0595cc331f4ce1e7056a3a/019f6d4b/PCgkwVsRAIFTuvuDxGp7d6CHn_cgkRaL-utspBqHov8JP_pQ6s60ONLcHIE7wZjeO4Qs180-rw),https://helsenorge.no/coronavirus/smittestopp,,Bluetooth and GPS,Centralized,,,,,
ProteGo Safe,Poland,NtUrs_H-kNSrK5Nj0qNk-DiiSfPRjFxzP8VQVsugRVCQVM13LHPoRBbhQc105efj44Q=s180-rw (https://dl.airtable.com/.attachments/e581b2863ea8636ec7046ba3ef2e6e38/3ecbfe60/NtUrs_H-kNSrK5Nj0qNk-DiiSfPRjFxzP8VQVsugRVCQVM13LHPoRBbhQc105efj44Qs180-rw),https://www.gov.pl/web/cyfryzacja/pokonajmy-razem-koronawirusa--poznaj-protego-safe,Apple-Google Privacy-Preserving Contact Tracing Specification,Bluetooth - Google/Apple APIs?,On device (Google/Apple API),,Open source,https://github.com/ProteGO-Safe,,
,Russia,,,,,,,,,,
TraceTogether,Singapore,57tTeRzYTOp-fs4z2sxM6mQ3Li0gC_f-072196o60haILVorVjkoOetA5XXBqirFCAg=s180-rw (https://dl.airtable.com/.attachments/c17fed55497a5e7716451d4384671e71/e7ead7f7/57tTeRzYTOp-fs4z2sxM6mQ3Li0gC_f-072196o60haILVorVjkoOetA5XXBqirFCAgs180-rw),https://www.tracetogether.gov.sg/,BlueTrace,Bluetooth,Centralized ,Phone number,Open source (reference implementation) - Open Trace,https://github.com/opentrace-community,Government Technology Agency - Singapore,Available. Few million users
,South Korea,,,,,,,,,,
SwissCovid,Switzerland,r7hDT5Dndi68lqzP3ASqaWWp3bpdyFljOK9aNfCD29EemqgeOyCCmTUvuM_K7oGKNA=s180-rw (https://dl.airtable.com/.attachments/35ca92fc9d1dbdc6fe9a281c01ea6281/d08fe965/r7hDT5Dndi68lqzP3ASqaWWp3bpdyFljOK9aNfCD29EemqgeOyCCmTUvuM_K7oGKNAs180-rw),https://ncs-tf.ch/de/policy-briefs/digital-proximity-tracing-15-may-20-en/download,"DP3-T,Apple-Google Privacy-Preserving Contact Tracing Specification",Bluetooth,On device,,,,EPFL and ETH Zurich,
,Taiwan,,,,,,,,,,
NHS COVID-19,UK,CPdp4QMmps3ojjnYpGXber16US694z5Zl93DTJfHlSj7ocaESWSfNkFSz8nAAA29o5c=s180-rw (https://dl.airtable.com/.attachments/2e061d217ad0c77d3673e8f682b57e7f/45e8f2d9/CPdp4QMmps3ojjnYpGXber16US694z5Zl93DTJfHlSj7ocaESWSfNkFSz8nAAA29o5cs180-rw),https://covid19.nhs.uk/,,Bluetooth (local storage only),Centralized,First part of pin/postcode,Open source,https://github.com/nhsx/COVID-19-app-Documentation-BETA,UK government / NHS,In beta trials (Isle of Wright)
ALHOSN UAE,United Arab Emirates,cSF-juPpA07tKkcLr3ztlZB8TOrNRDwNfHkXlTw6pmF2hAUQQuNywd4f2EAPpr7W2EU=s180-rw (https://dl.airtable.com/.attachments/c5c99f69b16e9b640c6292d3b9d00fb4/bbed6bb8/cSF-juPpA07tKkcLr3ztlZB8TOrNRDwNfHkXlTw6pmF2hAUQQuNywd4f2EAPpr7W2EUs180-rw),https://www.ncema.gov.ae/alhosn/index.html,,Bluetooth,,,,,,
Care19,US - North Dakota,,https://ndresponse.gov/covid-19-resources/care19,,GPS,,,,,,
